Season,Games_in_Calendar,Games_with_UUID,Fixtures_Fetched,Fixture_Coverage_%,Games_with_PBP,PBP_Coverage_%,Avg_PBP_Events,Games_with_Shots,Shot_Coverage_%,Avg_Shots,Validation_Pass_Rate_%,Avg_Total_Score
2025-2026,8,8,8,100.0,6,75.0,522,6,75.0,154,75.0,151.8
2024-2025,0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0
2023-2024,0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0
